"timestamp","pair","timeframe","signal","confidence","price","rsi","price_change_pct"
"2025-10-28T22:29:24.406888500","USDJPY=X","1h","VENTE","90","148.94379313483665","43.4298372486008","-0.1693715336629965"
"2025-10-28T22:29:25.090665100","USDJPY=X","4h","VENTE","65","149.5399414214128","32.24489709663999","0.1847792874212345"
"2025-10-28T22:29:27.029779400","EURJPY=X","1h","ATTENDRE","45","161.94871187811754","42.36374315565182","0.008257982419079471"
"2025-10-28T22:29:27.690334","EURJPY=X","4h","ATTENDRE","46","161.99043563451988","73.36449945891695","-0.13963120124978867"
"2025-10-28T22:29:25.724114200","GBPUSD=X","1h","ATTENDRE","46","1.2607346595196274","75.8921670836095","-0.017706034064982296"
"2025-10-28T22:29:26.373531800","GBPUSD=X","4h","ACHAT","75","1.2245474838070678","49.605657280953125","-0.30128381873518134"
"2025-10-28T22:29:32.585056700","USDCAD=X","1h","VENTE","75","1.3913257286142255","44.39735100739048","0.028553768919710894"
"2025-10-28T22:29:33.233942100","USDCAD=X","4h","VENTE","65","1.3500627312507125","30.173944857143468","0.0013237242066221364"
"2025-10-28T22:29:23.151930200","EURUSD=X","1h","ATTENDRE","51","1.0550890866395852","16.647745406236652","0.08097901214527962"
"2025-10-28T22:29:23.789147300","EURUSD=X","4h","ATTENDRE","49","1.0744735191559784","81.75620449928817","0.1945882951332753"
"2025-10-28T22:29:28.310662800","AUDUSD=X","1h","ACHAT","75","0.6452468318456158","53.733594771922164","0.13995622791987494"
"2025-10-28T22:29:28.936685500","AUDUSD=X","4h","ATTENDRE","47","0.6283004317028988","39.79278220004103","-0.1339032722905512"
